date,code,open,high,low,close,volume,amount,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2016-10-24,sh.000025,1759.7420,1792.8170,1759.6000,1783.2390,2930578304,20589414912.0000,0.011288,1,1.196800,,,,,
2016-10-25,sh.000025,1779.0000,1780.7170,1757.8080,1773.9410,2170194000,15590021632.0000,0.008359,1,-0.521400,,,,,
2016-10-26,sh.000025,1769.4570,1782.3240,1754.4820,1758.9730,1810266000,13044412928.0000,0.006973,1,-0.843800,,,,,
2016-10-27,sh.000025,1757.6460,1759.0690,1736.8680,1744.4870,1433031904,10115603712.0000,0.005520,1,-0.823500,,,,,
2016-10-28,sh.000025,1743.8790,1750.2420,1726.0690,1727.3030,1344131104,9447873024.0000,0.005177,1,-0.985100,,,,,
2016-10-31,sh.000025,1726.8400,1730.8210,1718.6360,1724.6850,1045643696,7332881408.0000,0.004028,1,-0.151600,,,,,
2016-11-01,sh.000025,1726.2050,1734.5260,1720.6130,1733.5110,1119180000,7666674432.0000,0.004311,1,0.511700,,,,,
2016-11-02,sh.000025,1729.6860,1729.6860,1703.0510,1705.2090,1136213008,7834425088.0000,0.004377,1,-1.632600,,,,,
2016-11-03,sh.000025,1705.2020,1771.1360,1704.2050,1760.0160,2425193504,17600375040.0000,0.009342,1,3.214100,,,,,
2016-11-04,sh.000025,1762.2060,1785.6820,1757.5360,1763.7160,2311200304,17280326400.0000,0.008902,1,0.210200,,,,,
2016-11-07,sh.000025,1760.9190,1775.4380,1749.2190,1770.7750,1523936000,11441421312.0000,0.005870,1,0.400200,,,,,
2016-11-08,sh.000025,1775.6300,1792.1260,1759.0080,1762.1070,1761996704,13607139328.0000,0.006787,1,-0.489500,,,,,
2016-11-09,sh.000025,1758.7180,1773.5580,1733.5470,1754.4710,1908631200,14235705088.0000,0.007352,1,-0.433400,,,,,
2016-11-10,sh.000025,1766.5990,1796.2840,1766.5990,1776.3410,1903960896,14503626752.0000,0.007334,1,1.246500,,,,,
2016-11-11,sh.000025,1769.9100,1813.9690,1769.9100,1799.7830,2861566096,21350175744.0000,0.011022,1,1.319700,,,,,
2016-11-14,sh.000025,1801.0850,1844.9890,1801.0850,1827.2160,3350753696,25044964608.0000,0.012907,1,1.524200,,,,,
2016-11-15,sh.000025,1825.8070,1829.1020,1806.4670,1810.6910,1788347200,13256845056.0000,0.006889,1,-0.904400,,,,,
2016-11-16,sh.000025,1808.7370,1811.5470,1796.9060,1809.1700,1771911200,12297263360.0000,0.006825,1,-0.084000,,,,,
2016-11-17,sh.000025,1803.3480,1842.8160,1799.2970,1840.9010,2237852496,15637963008.0000,0.008620,1,1.753900,,,,,
2016-11-18,sh.000025,1859.4850,1863.5660,1823.8480,1827.7990,2296015296,16714206720.0000,0.008844,1,-0.711700,,,,,
2016-11-21,sh.000025,1827.7440,1887.5540,1826.5820,1859.4110,3927501104,28480379648.0000,0.015128,1,1.729500,,,,,
2016-11-22,sh.000025,1857.7870,1891.2910,1856.2080,1879.6440,3938276304,30061954816.0000,0.015170,1,1.088100,,,,,
2016-11-23,sh.000025,1878.6640,1884.4190,1865.8140,1872.0560,2649769008,20292298752.0000,0.010207,1,-0.403700,,,,,
2016-11-24,sh.000025,1868.2790,1879.0910,1865.3600,1872.7960,1883900800,14751333376.0000,0.007257,1,0.039500,,,,,
2016-11-25,sh.000025,1878.3070,1908.7730,1863.3470,1906.1480,2283231296,18410504448.0000,0.008795,1,1.780900,,,,,
2016-11-28,sh.000025,1924.9320,1976.7420,1920.1620,1965.7960,4295069952,37542269184.0000,0.016544,1,3.129200,,,,,
2016-11-29,sh.000025,1952.7160,2062.2940,1949.6250,2028.6040,5757318656,50341305600.0000,0.022177,1,3.195000,,,,,
2016-11-30,sh.000025,2015.6420,2036.4630,1983.7780,2002.6460,3834876400,32278978560.0000,0.014772,1,-1.279600,,,,,
2016-12-01,sh.000025,2003.3760,2031.0750,1993.4470,2011.8950,3669509904,30505930752.0000,0.014135,1,0.461800,,,,,
2016-12-02,sh.000025,2002.8440,2033.1150,1993.5830,2006.3290,4221687008,34360521984.0000,0.016261,1,-0.276700,,,,,
2016-12-05,sh.000025,1958.7440,1958.7440,1909.3990,1917.8340,4102079504,33640033024.0000,0.015801,1,-4.410800,,,,,
2016-12-06,sh.000025,1914.6260,1921.2010,1895.7150,1903.8930,2300475904,18546925312.0000,0.008861,1,-0.726900,,,,,
2016-12-07,sh.000025,1901.3000,1908.1120,1880.2450,1907.7430,1952176496,15643108608.0000,0.007520,1,0.202200,,,,,
2016-12-08,sh.000025,1909.7260,1909.7830,1889.8900,1893.4080,1994121408,15365177856.0000,0.007681,1,-0.751400,,,,,
2016-12-09,sh.000025,1886.9070,1942.1160,1882.7910,1936.3050,3310968304,28257897984.0000,0.012754,1,2.265600,,,,,
2016-12-12,sh.000025,1923.5970,1924.0830,1861.2730,1888.4530,3011323808,25152053248.0000,0.011599,1,-2.471300,,,,,
2016-12-13,sh.000025,1878.4990,1894.6410,1852.2600,1884.1460,2061444608,17445977088.0000,0.007940,1,-0.228100,,,,,
2016-12-14,sh.000025,1873.7840,1873.8920,1832.6740,1833.7400,2562821600,20979237888.0000,0.009872,1,-2.675300,,,,,
2016-12-15,sh.000025,1824.4320,1843.0920,1816.2110,1829.8170,1681569408,13585387008.0000,0.006477,1,-0.213900,,,,,
2016-12-16,sh.000025,1824.6380,1850.0840,1821.4940,1837.5090,1488313808,12651401728.0000,0.005733,1,0.420400,,,,,
2016-12-19,sh.000025,1837.2930,1849.5360,1823.9580,1826.1010,1304187808,10615409920.0000,0.004826,1,-0.620800,,,,,
2016-12-20,sh.000025,1829.6300,1839.1560,1816.0310,1836.6130,1415661200,11406155520.0000,0.005239,1,0.575700,,,,,
2016-12-21,sh.000025,1842.0170,1884.6090,1835.7210,1874.9080,2380361408,19417285632.0000,0.008809,1,2.085100,,,,,
2016-12-22,sh.000025,1867.0360,1892.8150,1865.3040,1886.7100,1979490304,16688983808.0000,0.007325,1,0.629500,,,,,
2016-12-23,sh.000025,1886.3360,1902.4180,1880.1540,1884.5460,2185076608,19086192896.0000,0.008086,1,-0.114700,,,,,
2016-12-26,sh.000025,1869.4990,1919.1260,1851.8710,1909.1970,1909848208,16976989952.0000,0.007068,1,1.308100,,,,,
2016-12-27,sh.000025,1912.0410,1926.4100,1896.4480,1898.4810,1887817808,17304215296.0000,0.006986,1,-0.561300,,,,,
2016-12-28,sh.000025,1895.3900,1898.4290,1872.5890,1881.1320,1385771008,12380375808.0000,0.005128,1,-0.913800,,,,,
2016-12-29,sh.000025,1875.8790,1896.5270,1866.2270,1890.3040,1396549808,12463725568.0000,0.005168,1,0.487600,,,,,
2016-12-30,sh.000025,1891.0900,1899.0850,1857.8030,1875.8090,1405381696,12357461248.0000,0.005201,1,-0.766800,,,,,
