date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2012-09-26,sh.601800,3.1618939200,3.1618939200,3.0921462600,3.0998960000,11860729,47796550.0000,2,1.018480,1,-1.719900,6.030027,0.230237,4.667376,0.820329,0
2012-09-27,sh.601800,3.0998960000,3.2006426200,3.0921462600,3.1541441800,18644661,75956366.0000,2,1.601017,1,1.750000,6.135552,0.234266,4.749055,0.834684,0
2012-09-28,sh.601800,3.1386447000,3.2238918400,3.1308949600,3.2161421000,14236521,58514214.0000,2,1.222490,1,1.965600,6.256153,0.238871,4.842403,0.851091,0
2012-10-08,sh.601800,3.2161421000,3.2393913200,3.2006426200,3.2083923600,17535924,72836455.0000,2,1.505809,1,-0.241000,6.241078,0.238295,4.830735,0.849040,0
2012-10-09,sh.601800,3.2083923600,3.2936395000,3.2083923600,3.2781400200,18698661,78681954.0000,2,1.605654,1,2.173900,6.376753,0.243476,4.935751,0.867498,0
2012-10-10,sh.601800,3.2626405400,3.3013892400,3.2393913200,3.2781400200,14062151,59358062.0000,2,1.207517,1,0.000000,6.376753,0.243476,4.935751,0.867498,0
2012-10-11,sh.601800,3.2703902800,3.3711369000,3.2548908000,3.3013892400,21813252,93255964.0000,2,1.873103,1,0.709200,6.421979,0.245202,4.970756,0.873650,0
2012-10-12,sh.601800,3.3168887200,3.3711369000,3.3091389800,3.3556374200,29209164,125861931.0000,2,2.508190,1,1.643200,6.527504,0.249231,5.052435,0.888006,0
2012-10-15,sh.601800,3.3478876800,3.3788866400,3.3168887200,3.3633871600,19992370,86476162.0000,2,1.716744,1,0.230900,6.542579,0.249807,5.064103,0.890057,0
2012-10-16,sh.601800,3.3866363800,3.3943861200,3.3401379400,3.3478876800,13367995,58101977.0000,2,1.147909,1,-0.460800,6.512429,0.248656,5.040766,0.885955,0
2012-10-17,sh.601800,3.3556374200,3.4796332600,3.3478876800,3.4563840400,34836851,154062060.0000,2,2.991439,1,3.240700,6.723480,0.256714,5.204125,0.914666,0
2012-10-18,sh.601800,3.4563840400,3.5726301400,3.4486343000,3.5493809200,49857196,226397856.0000,2,4.281236,1,2.690600,6.904381,0.263621,5.344146,0.939276,0
2012-10-19,sh.601800,3.5571306600,3.6191285800,3.5493809200,3.5648804000,34046787,157702033.0000,2,2.923597,1,0.436681,6.934531,0.264772,5.367483,0.943378,0
2012-10-22,sh.601800,3.5493809200,3.5881296200,3.5416311800,3.5881296200,16609385,76452696.0000,2,1.426247,1,0.652200,6.979756,0.266499,5.402488,0.949530,0
2012-10-23,sh.601800,3.5881296200,3.5958793600,3.5261317000,3.5416311800,13247439,60765737.0000,2,1.137557,1,-1.295900,6.889306,0.263046,5.332477,0.937225,0
2012-10-24,sh.601800,3.5261317000,3.5261317000,3.4873830000,3.5261317000,16883575,76420029.0000,2,1.449792,1,-0.437600,6.859156,0.261894,5.309141,0.933124,0
2012-10-25,sh.601800,3.5183819600,3.6036291000,3.5028824800,3.5106322200,12638772,57966819.0000,2,1.085291,1,-0.439600,6.829005,0.260743,5.285804,0.929022,0
